,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index,Yfit,Res,"lnY, Official Time",lnYfit,"Res, lnY",elite_fit,"Res, elite_OLS",ti,hii,DFFITS,Cooks distance
210,20,F,30,3.616,3.6464,161.37,1,1,0,0,0,98,156.34358785948618,5.026412140513827,5.083699864953261,5.03560984120046,0.0480900237528008,160.35555679405235,1.0144432059476571,0.20034095577295805,0.08737319566005955,0.06198865900887553,0.0007895710021081456
30,37,M,25,3.4339999999999997,3.47435,144.67,0,1,0,0,0,17,156.51381377245363,-11.843813772453643,4.974455286641499,5.033601003357034,-0.059145716715534924,153.58442932744452,-8.914429327444537,-1.9788460491915376,0.1977664318600879,-0.9825120420677015,0.17860020128123535
16,76,M,41,3.08,3.11032,138.53,0,1,0,0,0,9,140.11458448601996,-1.5845844860199634,4.931086908669788,4.971977590023035,-0.040890681353246805,137.80533698557016,0.7246630144298365,0.1477078454871437,0.1437212128798908,0.060514076176028456,0.000752846836408037
147,22,F,29,3.614,3.64261,158.35,1,1,0,0,0,68,156.20231895600784,2.1476810439921508,5.064807772984649,5.034908731400905,0.0298990415837439,160.17207781141244,-1.8220778114124414,-0.3601293718067139,0.08651263173901014,-0.11082737122881149,0.0025173998623660974
7,7,M,28,3.08,3.13165,134.43,0,1,0,0,0,4,142.06242481167132,-7.632424811671314,4.901043617466161,4.977323915794404,-0.07628029832824268,140.45613486918168,-6.026134869181675,-1.2037598679374328,0.07211216722409802,-0.33558025078394826,0.02224534864180955
37,77,M,40,3.326,3.37244,146.0,0,1,0,0,0,20,151.5444432266361,-5.544443226636105,4.983606621708336,5.016498211574349,-0.03289158986601226,149.02238077061787,-3.022380770617872,-0.6006930867648148,0.0906585195899996,-0.18966772898092826,0.007324819168550707
179,80,M,42,3.326,3.426,159.65,0,1,0,0,0,87,154.6657702034707,4.98422979652932,5.072983919160791,5.028607726211149,0.04437619294964179,153.72471356762458,5.9252864323754295,1.2076521621455862,0.10845288685162738,0.42120185248515607,0.035036051278830874
2275,25,F,21,3.614,3.95782,186.82,1,1,0,0,0,1145,175.58183566682277,11.238164333177224,5.230145586444703,5.10692591573838,0.12321967070632311,188.9611729784804,-2.141172978480398,-0.5299695103829704,0.4150046241824574,-0.44637630854056454,0.04066263439104455
29,43,M,39,3.324,3.36675,144.45,0,1,0,0,0,16,151.28882326682665,-6.838823266826665,4.9729334269122445,5.015364832511443,-0.042431405599198335,148.6680886610072,-4.218088661007215,-0.8388471153336801,0.08295635063056428,-0.25229731624834484,0.012836450944118099
143,87,M,45,3.3339999999999996,3.50895,158.1,0,1,0,0,0,66,159.36185569593022,-1.2618556959302225,5.0632277442154265,5.046873041898893,0.016354702316533576,160.60946174053723,-2.5094617405372333,-0.5232499011806826,0.17584970960226132,-0.2417000691873791,0.011924328044449895
137,29,M,25,3.1660000000000004,3.25394,157.82,0,1,0,0,0,64,148.03856103698453,9.78143896301546,5.061455143092889,4.999962877635754,0.06149226545713482,147.28291723764767,10.537082762352327,2.199644845071029,0.07135572507392707,0.6097366273078222,0.06719156687392255
20,3,F,37,3.554,3.4388,141.87,1,1,0,0,0,11,144.59978933216908,-2.7297893321690765,4.954911145323894,4.9919318594732065,-0.037020714149312184,144.4234833690872,-2.553483369087189,-0.5501976455190224,0.22758946842023772,-0.2986556361002128,0.01819138601840368
267,36,F,25,3.61,3.70992,163.3,1,1,0,0,0,129,160.52918742786255,2.7708125721374586,5.095588999976419,5.050620674468869,0.04496832550755059,166.65065344880838,-3.350653448808373,-0.6720819348597872,0.10491761317089995,-0.230099098606685,0.010752893329322779
367,85,M,44,3.41,3.50895,165.78,0,1,0,0,0,184,158.05456172746815,7.7254382725318465,5.11066160816338,5.04222980766479,0.06843180049859043,156.83361539421998,8.946384605780025,1.9398606109857868,0.16250241810739957,0.8544932920917367,0.13562250685836635
23,11,F,27,3.55,3.4388,142.85,1,1,0,0,0,13,145.18212852069536,-2.3321285206953632,4.961795128676782,4.992557880272363,-0.030762751595581506,145.18917728139039,-2.3391772813903913,-0.48499106187802105,0.16737933622274334,-0.21745082666968643,0.009662236875450281
479,48,F,26,3.7960000000000003,3.8099300000000005,168.1,1,1,0,0,0,234,163.17272865639112,4.927271343608879,5.12455904041457,5.061879382033063,0.0626796583815068,166.20639947227227,1.8936005277277275,0.3839903613725662,0.13175692577845974,0.1495844282744777,0.004583650163520936
105,46,M,22,3.174,3.27053,155.85,0,1,0,0,0,50,149.04729277428112,6.802707225718876,5.048894006213346,5.003358405686368,0.04553560052697847,148.5401902489529,7.309809751047084,1.5008100564001066,0.10230927029551062,0.506663774896855,0.04961552469880288
2136,47,F,37,3.7560000000000002,4.08911,185.87,1,1,0,0,0,1076,180.12811769169153,5.741882308308476,5.225047504620262,5.127441845047021,0.09760565957324108,192.70171610122688,-6.831716101226874,-1.6192006962064538,0.3196860269281522,-1.1099612400786543,0.23578079473862462
8,18,M,27,3.08,3.07525,134.75,0,1,0,0,0,5,138.71908853981896,-3.969088539818955,4.903421209789107,4.964530308170509,-0.06110909838140266,135.44208172284968,-0.6920817228496787,-0.13536464090626293,0.07015389018439688,-0.03718138606586541,0.0002842420299750016
2,23,M,25,3.0839999999999996,3.06198,130.47,0,1,0,0,0,1,137.95111219820254,-7.481112198202538,4.871143315277656,4.961340798153516,-0.09019748287585916,134.16018907504744,-3.690189075047442,-0.7313755299313791,0.08106869761702001,-0.2172328505304802,0.009561549477175206
301,49,F,36,3.864,3.84501,164.12,1,1,0,0,0,146,163.55777336968444,0.5622266303155641,5.100597867573986,5.065292355062452,0.0353055125115338,165.36730074918185,-1.2473007491818464,-0.26256380715691585,0.1960913195919735,-0.12967632270110532,0.0034524804933419397
3,21,M,32,3.0839999999999996,3.06908,132.13,0,1,0,0,0,2,138.02083213297942,-5.890832132979426,4.883786286426125,4.96269037078343,-0.07890408435730478,134.40369303275494,-2.2736930327549487,-0.44528871637182976,0.0677912261347442,-0.12008032140834955,0.002949542870413807
47,56,M,24,3.234,3.26247,148.3,0,1,0,0,0,28,147.38763034001389,0.9123696599861262,4.999237249143887,4.997753062613174,0.0014841865307131386,144.6773262478513,3.6226737521486996,0.7167648821739736,0.07846251604918217,0.20914685178730907,0.008868263801858713
32,39,M,37,3.214,3.2814300000000003,145.03,0,1,0,0,0,18,148.22210228957485,-3.192102289574848,4.976940617572159,5.002805014649262,-0.025864397077103085,146.6571514676476,-1.627151467647593,-0.3159839389157395,0.05454123069411518,-0.07589377894614875,0.001181516098198023
2281,45,F,28,3.804,4.01706,186.85,1,1,0,0,0,1149,175.39364300977022,11.456356990229779,5.230306155931493,5.108434870926291,0.12187128500520217,184.3115336927389,2.5384663072611033,0.5224254586994759,0.15404532363231752,0.22293335115045732,0.010144743457253684
27,28,M,28,3.324,3.3416300000000003,143.43,0,1,0,0,0,15,150.33891207264347,-6.90891207264346,4.965847111306122,5.010067383957677,-0.044220272651554815,147.0301557477582,-3.60015574775818,-0.7156407944050044,0.08706322087634266,-0.22099991270897115,0.009902385632333399
10,22,M,32,3.0839999999999996,3.11317,135.57,0,1,0,0,0,7,140.67437848752542,-5.104378487525423,4.909488112091298,4.972721292794546,-0.06323318070324824,138.36745659493485,-2.7974565949348573,-0.5482955603083723,0.06654986139833757,-0.14640056227328221,0.004371551046359063
21,81,M,42,3.0839999999999996,3.10321,142.33,0,1,0,0,0,12,139.564092631424,2.7659073685760234,4.958148305082534,4.970075649879486,-0.0119273447969519,136.90803944975553,5.421960550244478,1.132111386212057,0.1546565912261455,0.4842356837200744,0.046532751472519535
41,34,M,32,3.1660000000000004,3.29423,146.97,0,1,0,0,0,24,150.10581337156597,-3.1358133715659733,4.990228484318593,5.008863511765985,-0.01863502744739165,150.5102568185975,-3.5402568185974985,-0.6963452796313591,0.06830181912876032,-0.1885398457928257,0.0072126564342466495
1029,50,F,28,3.784,3.8464300000000002,176.43,1,1,0,0,0,531,165.48178433690265,10.948215663097358,5.172924197139975,5.070846710299078,0.1020774868408969,169.9801016694746,6.4498983305254,1.313476331413801,0.10042561634551052,0.4388599650957271,0.0377589594773337
9,20,M,28,3.0839999999999996,3.07525,135.47,0,1,0,0,0,6,138.5965103749672,-3.1265103749672107,4.908750213592645,4.964245965112446,-0.055495751519800685,135.18398488848888,0.28601511151111936,0.05581127889661114,0.06620371523584664,0.01486062531986487,4.542552672400855e-05
59,40,M,28,3.194,3.25963,150.52,0,1,0,0,0,31,147.72730343709486,2.7926965629051494,5.014095965725237,4.999418865691797,0.014677100033440027,146.21337846288418,4.306621537115831,0.8394673125391544,0.045441109060562285,0.18315841971034696,0.006764891232756634
524,55,M,30,3.326,3.45539,169.13,0,1,0,0,0,260,157.04761518884575,12.082384811154242,5.13066764998595,5.035749819506224,0.09491783047972646,157.04371904084837,12.086280959151622,2.586732396160678,0.07543374431020633,0.7388653759410212,0.09427985228168637
381,27,F,34,3.7939999999999996,3.80851,166.23,1,1,0,0,0,191,162.7143366258196,3.5156633741803773,5.113372371547368,5.061375793520908,0.051996578026460405,165.72839031217453,0.5016096878254643,0.10095871999458812,0.12208979321778302,0.03764943521689295,0.0002915109864628536
19,31,M,29,3.234,3.26342,140.3,0,1,0,0,0,10,147.18938307724915,-6.889383077249136,4.943782987108415,4.997779376277574,-0.05399638916915883,144.48073443470204,-4.180734434702032,-0.8138467381860527,0.04403660739307008,-0.17467426437259792,0.006159995952143014
39,44,M,35,3.424,3.47435,146.82,0,1,0,0,0,22,156.18170220725725,-9.361702207257252,4.989207346682635,5.033837308584006,-0.044629961901370585,153.52467547175996,-6.70467547175997,-1.3884368911541722,0.125282931774105,-0.5254583502250758,0.053833939610098996
42,57,M,19,3.326,3.36675,147.18,0,1,0,0,0,25,152.274767627215,-5.094767627214992,4.991656327498453,5.016000926948237,-0.024344599449784177,149.69523358802883,-2.5152335880288206,-0.5294786350715194,0.19126905721162002,-0.25749498153952727,0.013531226982345717
0,11,M,24,3.0839999999999996,3.06103,129.62,0,1,0,0,0,0,137.94502122822306,-8.32502122822305,4.86460709299957,4.961162627715296,-0.09655553471572542,134.13118218688894,-4.511182186888931,-0.9009565478796451,0.08796880692500503,-0.27981007686883524,0.015741060388209074
11,6,M,32,3.08,3.06198,136.78,0,1,0,0,0,8,137.6650138975658,-0.8850138975658126,4.91837379566995,4.96132142766394,-0.04294763199398943,133.96708850679275,2.8129114932072525,0.5523999883905613,0.07006143192320025,0.15162333171436285,0.004688420525736791
4,9,M,31,3.0839999999999996,3.06103,132.58,0,1,0,0,0,3,137.58742932092065,-5.007429320920636,4.887186236813245,4.960896878361111,-0.07371064154786566,133.73638445960043,-1.1563844596004174,-0.2259398772383555,0.06732320434061606,-0.0607029352764093,0.0007569215363150099
84,12,F,23,3.55,3.4402199999999996,153.43,1,1,0,0,0,41,145.47192912185542,7.958070878144582,5.033244436957115,4.993032801443003,0.040211635514111777,145.54243631969726,7.887563680302748,1.7071456113022465,0.1778337715117524,0.793958620873631,0.11970841019930846
